Date,Time,time_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
9/13/2017,6:52:22,42991.29,0.057,0.055,0.06,0.048,0.073,0.053,0.074,0.045,0.092,0.061,0.043,0.067,0.057,0.057,0.079
9/13/2017,7:12:22,42991.30,0.057,0.055,0.06,0.048,0.073,0.053,0.074,0.045,0.093,0.061,0.042,0.067,0.057,0.058,0.079
9/13/2017,7:32:22,42991.31,0.057,0.055,0.06,0.049,0.073,0.054,0.074,0.045,0.093,0.062,0.042,0.068,0.057,0.058,0.08
9/13/2017,7:52:22,42991.33,0.057,0.055,0.06,0.048,0.074,0.054,0.074,0.046,0.093,0.062,0.042,0.068,0.057,0.058,0.08
9/13/2017,8:12:22,42991.34,0.057,0.055,0.06,0.049,0.074,0.054,0.074,0.046,0.093,0.062,0.042,0.068,0.057,0.058,0.081
9/13/2017,8:32:22,42991.36,0.057,0.055,0.06,0.049,0.074,0.054,0.074,0.046,0.093,0.062,0.042,0.068,0.057,0.058,0.081
9/13/2017,8:52:22,42991.37,0.057,0.055,0.06,0.049,0.074,0.054,0.074,0.047,0.092,0.062,0.042,0.068,0.057,0.058,0.081
9/13/2017,9:12:22,42991.38,0.057,0.055,0.06,0.049,0.074,0.054,0.074,0.047,0.092,0.062,0.04,0.068,0.057,0.058,0.081
9/13/2017,9:32:22,42991.40,0.057,0.055,0.06,0.049,0.075,0.054,0.074,0.048,0.092,0.063,0.04,0.068,0.057,0.059,0.081
9/13/2017,9:52:22,42991.41,0.057,0.055,0.06,0.049,0.075,0.054,0.074,0.048,0.092,0.063,0.041,0.068,0.057,0.059,0.081
9/13/2017,10:12:22,42991.43,0.057,0.055,0.06,0.049,0.075,0.054,0.074,0.048,0.092,0.063,0.042,0.068,0.057,0.059,0.082
9/13/2017,10:32:22,42991.44,0.058,0.055,0.06,0.049,0.076,0.054,0.074,0.048,0.092,0.063,0.042,0.068,0.057,0.059,0.082
9/13/2017,10:52:22,42991.45,0.058,0.055,0.06,0.049,0.076,0.054,0.075,0.048,0.092,0.064,0.042,0.069,0.058,0.059,0.082
9/13/2017,11:12:22,42991.47,0.058,0.055,0.06,0.049,0.076,0.054,0.075,0.049,0.091,0.064,0.042,0.068,0.057,0.059,0.082
9/13/2017,11:32:22,42991.48,0.058,0.055,0.06,0.049,0.076,0.054,0.075,0.049,0.091,0.064,0.042,0.068,0.057,0.058,0.082
9/13/2017,11:52:22,42991.49,0.058,0.055,0.06,0.049,0.076,0.054,0.075,0.049,0.09,0.064,0.041,0.068,0.057,0.058,0.082
9/13/2017,12:12:22,42991.51,0.058,0.055,0.06,0.049,0.076,0.054,0.074,0.049,0.09,0.064,0.041,0.068,0.057,0.058,0.082
9/13/2017,12:32:22,42991.52,0.059,0.055,0.06,0.049,0.076,0.054,0.074,0.049,0.09,0.064,0.041,0.068,0.057,0.058,0.082
