Date,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
8/2/2017,8:32:22,0.001,0.01,0.038,0.085,0.027,0.023,0.031,0.046,0.027,0.011,0.011,0.024,0.017,0.005,0.015,0
8/2/2017,8:52:22,0.001,0.01,0.038,0.085,0.027,0.023,0.031,0.046,0.027,0.01,0.011,0.024,0.017,0.005,0.015,0
8/2/2017,9:12:22,0.001,0.01,0.038,0.087,0.027,0.024,0.031,0.046,0.028,0.01,0.011,0.024,0.017,0.005,0.015,0
8/2/2017,9:32:22,0.001,0.01,0.038,0.087,0.027,0.024,0.031,0.047,0.028,0.01,0.011,0.024,0.017,0.005,0.015,0
8/2/2017,9:52:22,0.001,0.01,0.038,0.086,0.027,0.024,0.031,0.046,0.029,0.01,0.011,0.024,0.018,0.005,0.015,0
8/2/2017,10:12:22,0.001,0.01,0.038,0.086,0.027,0.024,0.031,0.046,0.029,0.01,0.011,0.024,0.018,0.005,0.015,0
8/2/2017,10:32:22,0.001,0.01,0.037,0.087,0.027,0.024,0.031,0.046,0.029,0.01,0.011,0.024,0.018,0.006,0.015,0
8/2/2017,10:52:22,0.001,0.01,0.037,0.087,0.027,0.025,0.03,0.047,0.029,0.009,0.01,0.024,0.018,0.006,0.014,0
8/2/2017,11:12:22,0.001,0.01,0.037,0.087,0.026,0.026,0.03,0.047,0.03,0.009,0.01,0.023,0.018,0.005,0.013,0
8/2/2017,11:32:22,0.001,0.01,0.037,0.087,0.026,0.026,0.03,0.047,0.03,0.009,0.01,0.023,0.018,0.005,0.013,0
8/2/2017,11:52:22,0.001,0.01,0.037,0.087,0.026,0.026,0.029,0.047,0.031,0.009,0.01,0.022,0.018,0.005,0.013,0
8/2/2017,12:12:22,0.001,0.01,0.037,0.087,0.026,0.025,0.029,0.048,0.031,0.008,0.01,0.022,0.018,0.005,0.013,0
8/2/2017,12:32:22,0.001,0.011,0.037,0.088,0.025,0.025,0.029,0.048,0.031,0.007,0.01,0.022,0.018,0.005,0.013,0
8/2/2017,12:52:22,0.001,0.01,0.037,0.088,0.025,0.024,0.029,0.048,0.031,0.007,0.01,0.021,0.018,0.005,0.013,0
8/2/2017,13:12:22,0.001,0.01,0.037,0.088,0.025,0.024,0.029,0.048,0.032,0.007,0.01,0.022,0.018,0.004,0.012,0
8/2/2017,13:32:22,0.001,0.01,0.037,0.088,0.025,0.024,0.029,0.048,0.032,0.007,0.01,0.022,0.018,0.004,0.012,0
